Selected Stocks By User,How many Stocks to select?,Start Date,End Date,Duration,Portfolio Value,Risk Factor,Confidence Level,Optimal weigths by CVAR for Numpy,Amount to Invest in each Stock by CVAR for Numpy,Optimal weigths by MVO for Numpy,Amount to Invest in each Stock by MVO for Numpy,Optimal Stocks Selected by Numpy,Optimal weigths by CVAR for QAOA,Amount to Invest in each Stock by CVAR for QAOA,Optimal weigths by MVO for QAOA,Amount to Invest in each Stock by MVO for QAOA,Optimal Stocks Selected by QAOA,Optimal weigths by CVAR for Sampling VQE,Amount to Invest in each Stock by CVAR for Sampling VQE,Optimal weigths by MVO for Sampling VQE,Amount to Invest in each Stock by MVO for Sampling VQE
"['AMZN', 'AXP', 'AMGN', 'AAPL', 'BA', 'CAT', 'CSCO', 'CVX', 'GS', 'HD']",5,"(2018, 1, 1)","(2018, 3, 1)",59,1000000,0.5,0.95,"([0.6978660388218908, 0.015178306918259037, 0.003401066181196264, 0.2678565387699184, 0.01569804930873556],)","({'AMZN': 697866.0388218908, 'AMGN': 15178.306918259037, 'AAPL': 3401.066181196264, 'BA': 267856.5387699184, 'CSCO': 15698.04930873556},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'AMZN': 197819.76838568875, 'AMGN': 336654.4725768124, 'AAPL': 174487.573483481, 'BA': 186813.27858492115, 'CSCO': 104224.90696909695}","['AMZN', 'AMGN', 'AAPL', 'BA', 'CSCO']","([0.6978660388218908, 0.015178306918259037, 0.003401066181196264, 0.2678565387699184, 0.01569804930873556],)","({'AMZN': 697866.0388218908, 'AMGN': 15178.306918259037, 'AAPL': 3401.066181196264, 'BA': 267856.5387699184, 'CSCO': 15698.04930873556},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'AMZN': 197819.76838568875, 'AMGN': 336654.4725768124, 'AAPL': 174487.573483481, 'BA': 186813.27858492115, 'CSCO': 104224.90696909695}","['AMZN', 'AMGN', 'AAPL', 'BA', 'CSCO']","([0.5429815736553165, 0.041060529595844115, 0.3495726257157525, 0.041546364687816854, 0.02483890634526995],)","({'AMZN': 542981.5736553165, 'AMGN': 41060.52959584411, 'BA': 349572.6257157525, 'CSCO': 41546.36468781685, 'HD': 24838.90634526995},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'AMZN': 197819.76838568875, 'AMGN': 336654.4725768124, 'AAPL': 174487.573483481, 'BA': 186813.27858492115, 'CSCO': 104224.90696909695}"
"['AMZN', 'AXP', 'AMGN', 'AAPL', 'BA', 'CAT', 'CSCO', 'CVX', 'GS', 'HD']",5,"(2018, 1, 1)","(2018, 6, 1)",151,1000000,0.5,0.95,"([0.6978660388218908, 0.015178306918259037, 0.003401066181196264, 0.2678565387699184, 0.01569804930873556],)","({'AMZN': 697866.0388218908, 'AMGN': 15178.306918259037, 'AAPL': 3401.066181196264, 'BA': 267856.5387699184, 'CSCO': 15698.04930873556},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'AMZN': 197819.76838568875, 'AMGN': 336654.4725768124, 'AAPL': 174487.573483481, 'BA': 186813.27858492115, 'CSCO': 104224.90696909695}","['AMZN', 'AMGN', 'AAPL', 'BA', 'CSCO']","([0.6978660388218908, 0.015178306918259037, 0.003401066181196264, 0.2678565387699184, 0.01569804930873556],)","({'AMZN': 697866.0388218908, 'AXP': 15178.306918259037, 'AAPL': 3401.066181196264, 'BA': 267856.5387699184, 'CSCO': 15698.04930873556},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'AMZN': 197819.76838568875, 'AMGN': 336654.4725768124, 'AAPL': 174487.573483481, 'BA': 186813.27858492115, 'CSCO': 104224.90696909695}","['AMZN', 'AMGN', 'BA', 'CSCO', 'CVX']","([0.6985838158704468, 0.1359789360476932, 0.07516584623726444, 0.016814022403124473, 0.07345737944147102],)","({'AMZN': 698583.8158704469, 'AAPL': 135978.93604769322, 'BA': 75165.84623726444, 'CAT': 16814.022403124472, 'CSCO': 73457.37944147101},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'AMZN': 197819.76838568875, 'AMGN': 336654.4725768124, 'BA': 174487.573483481, 'CSCO': 186813.27858492115, 'CVX': 104224.90696909695}"
"['AMZN', 'AXP', 'AMGN', 'AAPL', 'BA', 'CAT', 'CSCO', 'CVX', 'GS', 'HD']",5,"(2018, 1, 1)","(2018, 9, 1)",243,1000000,0.5,0.95,"([0.5918493858012209, 0.053192813618549585, 0.3066282284560797, 0.011285497203521072, 0.037044074920628535],)","({'AMZN': 591849.3858012209, 'AMGN': 53192.81361854958, 'AAPL': 306628.22845607967, 'BA': 11285.497203521072, 'CSCO': 37044.07492062853},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'AMZN': 197819.76838568875, 'AMGN': 336654.4725768124, 'AAPL': 174487.573483481, 'BA': 186813.27858492115, 'CSCO': 104224.90696909695}","['AMZN', 'AMGN', 'AAPL', 'BA', 'CSCO']","([0.5918493858012209, 0.053192813618549585, 0.3066282284560797, 0.011285497203521072, 0.037044074920628535],)","({'AMZN': 591849.3858012209, 'AMGN': 53192.81361854958, 'AAPL': 306628.22845607967, 'BA': 11285.497203521072, 'CSCO': 37044.07492062853},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'AMZN': 197819.76838568875, 'AMGN': 336654.4725768124, 'AAPL': 174487.573483481, 'BA': 186813.27858492115, 'CSCO': 104224.90696909695}","['AMZN', 'AMGN', 'AAPL', 'BA', 'CSCO']","([0.5918493858012209, 0.053192813618549585, 0.3066282284560797, 0.011285497203521072, 0.037044074920628535],)","({'AMZN': 591849.3858012209, 'AMGN': 53192.81361854958, 'AAPL': 306628.22845607967, 'BA': 11285.497203521072, 'CSCO': 37044.07492062853},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'AMZN': 197819.76838568875, 'AMGN': 336654.4725768124, 'AAPL': 174487.573483481, 'BA': 186813.27858492115, 'CSCO': 104224.90696909695}"
"['AMZN', 'AXP', 'AMGN', 'AAPL', 'BA', 'CAT', 'CSCO', 'CVX', 'GS', 'HD']",5,"(2018, 1, 1)","(2019, 1, 1)",365,1000000,0.5,0.95,"([0.5132479056006208, 0.0009986055215973053, 0.32859058626618426, 0.02910422876855595, 0.12805867384304154],)","({'AMZN': 513247.90560062084, 'AXP': 998.6055215973054, 'AMGN': 328590.5862661843, 'BA': 29104.22876855595, 'CSCO': 128058.67384304154},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'AMZN': 197819.76838568875, 'AXP': 336654.4725768124, 'AMGN': 174487.573483481, 'BA': 186813.27858492115, 'CSCO': 104224.90696909695}","['AMZN', 'AXP', 'AMGN', 'BA', 'CSCO']","([0.5132479056006208, 0.0009986055215973053, 0.32859058626618426, 0.02910422876855595, 0.12805867384304154],)","({'AMZN': 513247.90560062084, 'AXP': 998.6055215973054, 'AMGN': 328590.5862661843, 'BA': 29104.22876855595, 'CSCO': 128058.67384304154},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'AMZN': 197819.76838568875, 'AXP': 336654.4725768124, 'AMGN': 174487.573483481, 'BA': 186813.27858492115, 'CSCO': 104224.90696909695}","['AMZN', 'AXP', 'AMGN', 'BA', 'CSCO']","([0.5132479056006208, 0.0009986055215973053, 0.32859058626618426, 0.02910422876855595, 0.12805867384304154],)","({'AMZN': 513247.90560062084, 'AXP': 998.6055215973054, 'AMGN': 328590.5862661843, 'BA': 29104.22876855595, 'CSCO': 128058.67384304154},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'AMZN': 197819.76838568875, 'AXP': 336654.4725768124, 'AMGN': 174487.573483481, 'BA': 186813.27858492115, 'CSCO': 104224.90696909695}"
"['AMZN', 'AXP', 'AMGN', 'AAPL', 'BA', 'CAT', 'CSCO', 'CVX', 'GS', 'HD']",5,"(2018, 1, 1)","(2019, 6, 1)",516,1000000,0.5,0.95,"([0.30241241798545804, 0.05631772969333069, 0.04386556226436817, 0.5929876150122821, 0.004416675044560909],)","({'AMZN': 302412.41798545804, 'AXP': 56317.729693330686, 'BA': 43865.56226436817, 'CSCO': 592987.6150122822, 'HD': 4416.675044560909},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'AMZN': 197819.76838568875, 'AXP': 336654.4725768124, 'BA': 174487.573483481, 'CSCO': 186813.27858492115, 'HD': 104224.90696909695}","['AMZN', 'AXP', 'BA', 'CSCO', 'HD']","([0.2805882883187118, 0.06881552723551142, 0.025763990713824448, 0.022792493580939623, 0.6020397001510127],)","({'AMZN': 280588.2883187118, 'AXP': 68815.52723551141, 'AMGN': 25763.99071382445, 'BA': 22792.493580939623, 'CSCO': 602039.7001510127},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'AMZN': 197819.76838568875, 'AXP': 336654.4725768124, 'BA': 174487.573483481, 'CSCO': 186813.27858492115, 'HD': 104224.90696909695}","['AXP', 'AAPL', 'BA', 'CSCO', 'HD']","([0.2805882883187118, 0.06881552723551142, 0.025763990713824448, 0.022792493580939623, 0.6020397001510127],)","({'AMZN': 280588.2883187118, 'AXP': 68815.52723551141, 'AMGN': 25763.99071382445, 'BA': 22792.493580939623, 'CSCO': 602039.7001510127},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'AXP': 197819.76838568875, 'AAPL': 336654.4725768124, 'BA': 174487.573483481, 'CSCO': 186813.27858492115, 'HD': 104224.90696909695}"
"['AMZN', 'AXP', 'AMGN', 'AAPL', 'BA', 'CAT', 'CSCO', 'CVX', 'GS', 'HD']",5,"(2018, 1, 1)","(2020, 1, 1)",730,1000000,0.5,0.95,"([0.038525311084299386, 0.034383529403825976, 0.42330574341398625, 0.49506109063814835, 0.00872432545974005],)","({'AMZN': 38525.311084299385, 'AXP': 34383.529403825974, 'AMGN': 423305.74341398623, 'AAPL': 495061.09063814837, 'HD': 8724.32545974005},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'AMZN': 197819.76838568875, 'AXP': 336654.4725768124, 'AMGN': 174487.573483481, 'AAPL': 186813.27858492115, 'HD': 104224.90696909695}","['AMZN', 'AXP', 'AMGN', 'AAPL', 'HD']","([0.038525311084299386, 0.034383529403825976, 0.42330574341398625, 0.49506109063814835, 0.00872432545974005],)","({'AMZN': 38525.311084299385, 'AXP': 34383.529403825974, 'AMGN': 423305.74341398623, 'AAPL': 495061.09063814837, 'HD': 8724.32545974005},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'AMZN': 197819.76838568875, 'AXP': 336654.4725768124, 'AMGN': 174487.573483481, 'AAPL': 186813.27858492115, 'HD': 104224.90696909695}","['AMZN', 'AMGN', 'AAPL', 'CSCO', 'HD']","([0.038525311084299386, 0.034383529403825976, 0.42330574341398625, 0.49506109063814835, 0.00872432545974005],)","({'AMZN': 38525.311084299385, 'AXP': 34383.529403825974, 'AMGN': 423305.74341398623, 'AAPL': 495061.09063814837, 'HD': 8724.32545974005},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'AMZN': 197819.76838568875, 'AMGN': 336654.4725768124, 'AAPL': 174487.573483481, 'CSCO': 186813.27858492115, 'HD': 104224.90696909695}"
"['AMZN', 'AXP', 'AMGN', 'AAPL', 'BA', 'CAT', 'CSCO', 'CVX', 'GS', 'HD']",5,"(2018, 1, 1)","(2021, 1, 1)",1096,1000000,0.5,0.95,"([0.4848807976544946, 0.021844528481755665, 0.47041587868400014, 0.020698725221229335, 0.0021600699585202724],)","({'AMZN': 484880.7976544946, 'AMGN': 21844.528481755664, 'AAPL': 470415.87868400017, 'CAT': 20698.725221229335, 'HD': 2160.0699585202724},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'AMZN': 197819.76838568875, 'AMGN': 336654.4725768124, 'AAPL': 174487.573483481, 'CAT': 186813.27858492115, 'HD': 104224.90696909695}","['AMZN', 'AMGN', 'AAPL', 'CAT', 'HD']","([0.4848807976544946, 0.021844528481755665, 0.47041587868400014, 0.020698725221229335, 0.0021600699585202724],)","({'AMZN': 484880.7976544946, 'AMGN': 21844.528481755664, 'AAPL': 470415.87868400017, 'CAT': 20698.725221229335, 'HD': 2160.0699585202724},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'AMZN': 197819.76838568875, 'AMGN': 336654.4725768124, 'AAPL': 174487.573483481, 'CAT': 186813.27858492115, 'HD': 104224.90696909695}","['AMZN', 'AAPL', 'CAT', 'CSCO', 'GS']","([0.4848807976544946, 0.021844528481755665, 0.47041587868400014, 0.020698725221229335, 0.0021600699585202724],)","({'AMZN': 484880.7976544946, 'AMGN': 21844.528481755664, 'AAPL': 470415.87868400017, 'CAT': 20698.725221229335, 'CSCO': 2160.0699585202724},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'AMZN': 197819.76838568875, 'AAPL': 336654.4725768124, 'CAT': 174487.573483481, 'CSCO': 186813.27858492115, 'GS': 104224.90696909695}"
"['AMZN', 'AXP', 'AMGN', 'AAPL', 'BA', 'CAT', 'CSCO', 'CVX', 'GS', 'HD']",5,"(2018, 1, 1)","(2022, 1, 1)",1461,1000000,0.5,0.95,"([0.059222178440190176, 0.07853061951704744, 0.6750409642963131, 0.015747914203553193, 0.1714583235428962],)","({'AMZN': 59222.178440190175, 'AMGN': 78530.61951704744, 'AAPL': 675040.9642963131, 'CSCO': 15747.914203553193, 'HD': 171458.3235428962},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'AMZN': 197819.76838568875, 'AMGN': 336654.4725768124, 'AAPL': 174487.573483481, 'CSCO': 186813.27858492115, 'HD': 104224.90696909695}","['AMZN', 'AMGN', 'AAPL', 'CSCO', 'HD']","([0.059222178440190176, 0.07853061951704744, 0.6750409642963131, 0.015747914203553193, 0.1714583235428962],)","({'AMZN': 59222.178440190175, 'AXP': 78530.61951704744, 'AAPL': 675040.9642963131, 'CSCO': 15747.914203553193, 'HD': 171458.3235428962},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'AMZN': 197819.76838568875, 'AMGN': 336654.4725768124, 'AAPL': 174487.573483481, 'CSCO': 186813.27858492115, 'HD': 104224.90696909695}","['AMZN', 'AMGN', 'AAPL', 'CSCO', 'HD']","([0.059222178440190176, 0.07853061951704744, 0.6750409642963131, 0.015747914203553193, 0.1714583235428962],)","({'AXP': 59222.178440190175, 'AMGN': 78530.61951704744, 'AAPL': 675040.9642963131, 'CSCO': 15747.914203553193, 'HD': 171458.3235428962},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'AMZN': 197819.76838568875, 'AMGN': 336654.4725768124, 'AAPL': 174487.573483481, 'CSCO': 186813.27858492115, 'HD': 104224.90696909695}"
"['HON', 'IBM', 'INTC', 'JNJ', 'KO', 'JPM', 'MCD', 'MMM', 'MRK', 'MSFT']",5,"(2018, 1, 1)","(2018, 3, 1)",59,1000000,0.5,0.95,"([0.03241593520626761, 0.03275407109438098, 0.4879262588156163, 0.01054216781677954, 0.43636156706695556],)","({'IBM': 32415.935206267608, 'INTC': 32754.07109438098, 'JPM': 487926.2588156163, 'MMM': 10542.16781677954, 'MSFT': 436361.56706695555},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'IBM': 197819.76838568875, 'INTC': 336654.4725768124, 'JPM': 174487.573483481, 'MMM': 186813.27858492115, 'MSFT': 104224.90696909695}","['IBM', 'INTC', 'JPM', 'MMM', 'MSFT']","([0.03241593520626761, 0.03275407109438098, 0.4879262588156163, 0.01054216781677954, 0.43636156706695556],)","({'IBM': 32415.935206267608, 'INTC': 32754.07109438098, 'JPM': 487926.2588156163, 'MMM': 10542.16781677954, 'MSFT': 436361.56706695555},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'HON': 197819.76838568875, 'IBM': 336654.4725768124, 'INTC': 174487.573483481, 'JPM': 186813.27858492115, 'MSFT': 104224.90696909695}","['IBM', 'INTC', 'JNJ', 'JPM', 'MSFT']","([0.03241593520626761, 0.03275407109438098, 0.4879262588156163, 0.01054216781677954, 0.43636156706695556],)","({'IBM': 32415.935206267608, 'INTC': 32754.07109438098, 'JPM': 487926.2588156163, 'MCD': 10542.16781677954, 'MSFT': 436361.56706695555},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'IBM': 197819.76838568875, 'INTC': 336654.4725768124, 'JNJ': 174487.573483481, 'JPM': 186813.27858492115, 'MSFT': 104224.90696909695}"
"['HON', 'IBM', 'INTC', 'JNJ', 'KO', 'JPM', 'MCD', 'MMM', 'MRK', 'MSFT']",5,"(2018, 1, 1)","(2018, 6, 1)",151,1000000,0.5,0.95,"([0.3563187559608204, 0.02371343419141865, 0.0005300928279795217, 0.13393779466527925, 0.4854999223545022],)","({'INTC': 356318.7559608204, 'KO': 23713.43419141865, 'JPM': 530.0928279795216, 'MRK': 133937.79466527925, 'MSFT': 485499.9223545022},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'INTC': 197819.76838568875, 'KO': 336654.4725768124, 'JPM': 174487.573483481, 'MRK': 186813.27858492115, 'MSFT': 104224.90696909695}","['INTC', 'KO', 'JPM', 'MRK', 'MSFT']","([0.3563187559608204, 0.02371343419141865, 0.0005300928279795217, 0.13393779466527925, 0.4854999223545022],)","({'INTC': 356318.7559608204, 'KO': 23713.43419141865, 'JPM': 530.0928279795216, 'MRK': 133937.79466527925, 'MSFT': 485499.9223545022},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'HON': 197819.76838568875, 'INTC': 336654.4725768124, 'JPM': 174487.573483481, 'MRK': 186813.27858492115, 'MSFT': 104224.90696909695}","['HON', 'INTC', 'KO', 'MRK', 'MSFT']","([0.03079893237279379, 0.34106622730061126, 0.0014202667062015678, 0.13774403850272204, 0.48897053511767136],)","({'HON': 30798.93237279379, 'INTC': 341066.22730061127, 'MCD': 1420.2667062015678, 'MRK': 137744.03850272205, 'MSFT': 488970.53511767136},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'HON': 197819.76838568875, 'INTC': 336654.4725768124, 'KO': 174487.573483481, 'MRK': 186813.27858492115, 'MSFT': 104224.90696909695}"
